num,footage,latitude,longitude,num_ba,num_br,price,type,url
61,984,37.844026,-122.29558,2,2,2980,condo,http://sfbay.craigslist.org/eby/apa/6063256533.html
62,700,37.309039,-121.913866,1,1,1895,apt,http://sfbay.craigslist.org/sby/apa/6064050928.html
63,588,38.467618,-122.759771,1,1,1499,apt,http://sfbay.craigslist.org/nby/apa/6090163375.html
64,685,37.526711,-122.292938,1,1,1995,apt,http://sfbay.craigslist.org/pen/apa/6090339505.html
65,950,37.369305,-122.05729,1,2,2650,apt,http://sfbay.craigslist.org/sby/apa/6092978313.html
66,,37.509062,-122.295985,1,1,2100,apt,http://sfbay.craigslist.org/pen/apa/6092977321.html
67,1000,37.768064,-122.438268,1,2,5200,apt,http://sfbay.craigslist.org/sfc/apa/6092977305.html
68,,37.7593,-122.4836,1,1,1000,apt,http://sfbay.craigslist.org/sfc/apa/6092968817.html
69,1200,37.787061,-122.453536,3,3,5500,apt,http://sfbay.craigslist.org/sfc/apa/6092970069.html
70,,37.5507,-122.3276,1,1,1000,apt,http://sfbay.craigslist.org/pen/apa/6076794219.html
71,950,37.370413,-122.06038,1,2,2650,apt,http://sfbay.craigslist.org/sby/apa/6079205430.html
72,1100,37.574135,-122.335581,2,2,2795,apt,http://sfbay.craigslist.org/pen/apa/6079474068.html
73,,38.2403,-122.6777,1,1,1699,apt,http://sfbay.craigslist.org/nby/apa/6079123168.html
74,1120,36.9767,-121.9555,2,2,2600,apt,http://sfbay.craigslist.org/scz/apa/6092944409.html
75,1500,37.772418,-122.435563,1,2,2400,condo,http://sfbay.craigslist.org/sfc/apa/6092968993.html
76,650,37.7856,-122.4358,1,1,30009,apt,http://sfbay.craigslist.org/sfc/apa/6092968547.html
77,1500,37.776856,-122.438177,1,2,2400,apt,http://sfbay.craigslist.org/sfc/apa/6092967632.html
78,,37.859127,-122.486083,1,1,2500,apt,http://sfbay.craigslist.org/nby/apa/6090172966.html
79,,37.749041,-122.418135,1,0,1850,apt,http://sfbay.craigslist.org/sfc/apa/6063126650.html
80,,37.783911,-122.389463,1,1,1444,apt,http://sfbay.craigslist.org/sfc/apa/6092959337.html
81,600,37.308028,-121.915341,1,0,1795,apt,http://sfbay.craigslist.org/sby/apa/6066949078.html
82,,37.790421,-122.412522,1,1,3550,condo,http://sfbay.craigslist.org/sfc/apa/6087533355.html
83,1000,37.340257,-121.953864,1,2,2445,apt,http://sfbay.craigslist.org/sby/apa/6092964693.html
84,600,37.742007,-122.499262,1,0,1900,apt,http://sfbay.craigslist.org/sfc/apa/6092959496.html
85,,37.545291,-122.282563,,,2950,apt,http://sfbay.craigslist.org/pen/apa/6088875432.html
86,,37.545291,-122.282563,2,2,2950,apt,http://sfbay.craigslist.org/pen/apa/6088863651.html
87,1028,38.240037,-122.590965,5,2,2065,apt,http://sfbay.craigslist.org/nby/apa/6087662068.html
88,,37.737731,-122.387528,1,2,3750,apt,http://sfbay.craigslist.org/sfc/apa/6092962399.html
89,,37.460738,-122.269878,1,0,1750,apt,http://sfbay.craigslist.org/pen/apa/6092962243.html
90,1795,37.589534,-122.069773,2,4,3500,apt,http://sfbay.craigslist.org/eby/apa/6092960954.html
91,947,37.396,-122.0938,2,2,3137,apt,http://sfbay.craigslist.org/sby/apa/6078842565.html
92,1398,37.4352,-121.895,2,4,3150,apt,http://sfbay.craigslist.org/sby/apa/6090081805.html
93,,37.787849,-122.214269,1,1,1795,apt,http://sfbay.craigslist.org/eby/apa/6092959466.html
94,622,37.3483,-121.9844,1,1,2000,condo,http://sfbay.craigslist.org/sby/apa/6084279055.html
95,700,37.805027,-122.26158,1,1,2495,apt,http://sfbay.craigslist.org/eby/apa/6085506682.html
96,900,37.821827,-122.26708,1,1,2450,apt,http://sfbay.craigslist.org/eby/apa/6092958250.html
